locality,latitude,longitude,display_name,class,type,query_used
RP Nagar,18.5605448,73.9528977,"RP Nagar Road, Kharadi, Wagholi, Pune City Subdistrict, Pune District, Maharashtra, 411023, India",,residential,"RP Nagar, Maharashtra, India"
RTO Colony,19.1325056,72.8307797,"RTO Road, Bhudargarh Colony, Dadabhai Naoroji Nagar, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 402205, India",,tertiary,"RTO Colony, Maharashtra, India"
Rabale,19.1366355,73.0027824,"Rabale, Rabale Station Road, Sector 26, MIDC - Rabale, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400701, India",,station,"Rabale, Maharashtra, India"
Raheja Vihar,19.1191663,72.8951234,"Raheja Vihar Circular Road, Chandivali, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Raheja Vihar, Maharashtra, India"
Rajaram Nagar,19.0940216,72.9183116,"Rajaram Bane Marg, Laxmi Nagar, Ghatkopar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India",,living_street,"Rajaram Nagar, Maharashtra, India"
Ramabai Ambedkar Nagar,19.1247542,72.9201221,"Ramabai Ambedkar Nagar, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India",,neighbourhood,"Ramabai Ambedkar Nagar, Maharashtra, India"
Rambaug,18.5113684,73.8155321,"Rambaug Colony, Erandwane, Anandnagar, Pune City Subdistrict, Pune District, Maharashtra, 411051, India",,residential,"Rambaug, Maharashtra, India"
Ranjanpada,18.9092584,73.0158486,"Ranjanpada, JNPT Road, Uran Subdistrict, Raigad, Maharashtra, 400707, India",,station,"Ranjanpada, Maharashtra, India"
Rasayani,18.8978821,73.1803608,"Rasayani, Khalapur Taluka, Raigad, Maharashtra, 410222, India",,town,"Rasayani, Maharashtra, India"
Sadan wadi,19.1289515,72.8234663,"Baba Sadan, Versova, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Sadan wadi, Maharashtra, India"
Sambhaji Nagar,19.8772630,75.3390241,"Chhatrapati Sambhajinagar, Chhatrapati Sambhajinagar District, Maharashtra, 431002, India",,city,"Sambhaji Nagar, Maharashtra, India"
Sangam Nagar,19.0242996,72.8721003,"Sangam Nagar, Antop Hill, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India",,neighbourhood,"Sangam Nagar, Maharashtra, India"
Sanjay Nagar,19.0673247,72.9275176,"Sanjay Nagar Part 2, sanjay nagar part 2, Shivaji Nagar, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Sanjay Nagar, Maharashtra, India"
Sanpada,19.0659774,73.0095329,"Sanpada, Sanpada Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,station,"Sanpada, Maharashtra, India"
Sardar Vallabhbhai Patel Nagar,19.0320750,72.8709317,"Sardar Vallabhbhai Patel Nagar, Wadala, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India",,neighbourhood,"Sardar Vallabhbhai Patel Nagar, Maharashtra, India"
Sathe Nagar,19.0537530,72.9148886,"sathe nagar, Govandi West, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Sathe Nagar, Maharashtra, India"
Savoli,,,,,,
Seawoods,19.0216748,73.0186236,"Seawoods Grand Central Mall, Seawoods, Seawoods Station Road, Sector-42, Seawoods East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,mall,"Seawoods, Maharashtra, India"
Sector 1 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 1 Kopar Khairane, Maharashtra, India"
Sector 1 Shiravane,19.0469267,73.0211474,"Shiravane Village, Juinagar, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400007, India",,locality,"Sector 1 Shiravane, Maharashtra, India"
Sector 10 Sanpada,19.0607337,73.0116775,"Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400705, India",,suburb,"Sector 10 Sanpada, Maharashtra, India"
Sector 10 Vashi,19.0990752,73.0051825,"D Mart Police Station, Sector 10, Vashi - Koparkhairne Link Road, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,police,"Sector 10 Vashi, Maharashtra, India"
Sector 10A Vashi,19.0699948,72.9959605,"Sector 1, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,neighbourhood,"Sector 10A Vashi, Maharashtra, India"
Sector 11 Kamothe,19.0173837,73.0954838,"Prem Aangan society,kamothe, Prem Aangan, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,residential,"Sector 11 Kamothe, Maharashtra, India"
Sector 11 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 11 Vashi, Maharashtra, India"
Sector 12,19.1177420,72.9904477,"Sector 12, Ghansoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,locality,"Sector 12, Maharashtra, India"
Sector 12 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,suburb,"Sector 12 Kharghar, Maharashtra, India"
Sector 12 New Panvel,18.9993761,73.1239899,"New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,suburb,"Sector 12 New Panvel, Maharashtra, India"
Sector 12 Vashi,19.0877597,73.0039074,"Sector 12 Vashi, Vashi - Koparkhairne Link Road, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,bus_stop,"Sector 12 Vashi, Maharashtra, India"
Sector 14 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 14 Vashi, Maharashtra, India"
Sector 15 Belapur,19.5646023,74.6484732,"Belapur Bk, Shrirampur, Ahilyanagar District, Maharashtra, 413715, India",,village,"Sector 15 Belapur, Maharashtra, India"
Sector 15 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 15 Kopar Khairane, Maharashtra, India"
Sector 15 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 15 Vashi, Maharashtra, India"
Sector 16 Airoli,19.1582719,72.9967088,"Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India",,suburb,"Sector 16 Airoli, Maharashtra, India"
Sector 16 Kalamboli,19.0358309,73.1034796,"Kalamboli, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410218, India",,suburb,"Sector 16 Kalamboli, Maharashtra, India"
Sector 16 Kopar Khairane,19.0991188,73.0015852,"Sati CHS, plot no. 12, sector- 16, Gyan Vikas Road, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,yes,"Sector 16 Kopar Khairane, Maharashtra, India"
Sector 16 Nerul,19.0331360,73.0089368,"16, Sector 6 Nerul Road, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400007, India",,apartments,"Sector 16 Nerul, Maharashtra, India"
Sector 16 Ulwe,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Sector 16 Ulwe, Maharashtra, India"
Sector 16 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 16 Vashi, Maharashtra, India"
Sector 17 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 17 Kopar Khairane, Maharashtra, India"
Sector 17 Nerul,19.0333249,73.0089489,"17, Sector 6 Nerul Road, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400007, India",,apartments,"Sector 17 Nerul, Maharashtra, India"
Sector 17 Ulwe,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Sector 17 Ulwe, Maharashtra, India"
Sector 17 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 17 Vashi, Maharashtra, India"
Sector 18 Kamothe,19.0173837,73.0954838,"Prem Aangan society,kamothe, Prem Aangan, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,residential,"Sector 18 Kamothe, Maharashtra, India"
Sector 18 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 18 Kopar Khairane, Maharashtra, India"
Sector 18 Ulwe,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Sector 18 Ulwe, Maharashtra, India"
Sector 18A Nerul,19.0310419,73.0356567,"Sector 9 Agro Project Farm, Belapur East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,allotments,"Sector 18A Nerul, Maharashtra, India"
Sector 19 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,suburb,"Sector 19 Kharghar, Maharashtra, India"
Sector 19 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 19 Vashi, Maharashtra, India"
Sector 19A Nerul,19.0310419,73.0356567,"Sector 9 Agro Project Farm, Belapur East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,allotments,"Sector 19A Nerul, Maharashtra, India"
Sector 19A Vashi,19.0699948,72.9959605,"Sector 1, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,neighbourhood,"Sector 19A Vashi, Maharashtra, India"
Sector 19D Vashi,19.0699948,72.9959605,"Sector 1, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,neighbourhood,"Sector 19D Vashi, Maharashtra, India"
Sector 1A Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 1A Kopar Khairane, Maharashtra, India"
Sector 2 CBD Belapur,19.0234849,73.0384895,"CBD Belapur East, Belapur East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,commercial,"Sector 2 CBD Belapur, Maharashtra, India"
Sector 2 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 2 Kopar Khairane, Maharashtra, India"
Sector 2 New Panvel,18.9993761,73.1239899,"New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,suburb,"Sector 2 New Panvel, Maharashtra, India"
Sector 2 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 2 Vashi, Maharashtra, India"
Sector 20 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,suburb,"Sector 20 Kharghar, Maharashtra, India"
Sector 20 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 20 Kopar Khairane, Maharashtra, India"
Sector 20 Roadpali,19.0366032,73.0911631,"Roadpali Park Ave, Kalamboli, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410218, India",,residential,"Sector 20 Roadpali, Maharashtra, India"
Sector 21 Kamothe,19.0173837,73.0954838,"Prem Aangan society,kamothe, Prem Aangan, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,residential,"Sector 21 Kamothe, Maharashtra, India"
Sector 21 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,suburb,"Sector 21 Kharghar, Maharashtra, India"
Sector 21 Nerul,19.0370749,73.0124752,"Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400007, India",,suburb,"Sector 21 Nerul, Maharashtra, India"
Sector 21 New Panvel,18.9993761,73.1239899,"New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,suburb,"Sector 21 New Panvel, Maharashtra, India"
Sector 22 Kamothe,19.0173837,73.0954838,"Prem Aangan society,kamothe, Prem Aangan, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,residential,"Sector 22 Kamothe, Maharashtra, India"
Sector 23 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,suburb,"Sector 23 Kharghar, Maharashtra, India"
Sector 23 Ulwe,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Sector 23 Ulwe, Maharashtra, India"
Sector 24 Ulwe,18.9759053,73.0297988,"Sector 19 Road, Vahal Village, Ulwe, Panvel Subdistrict, Raigad, Maharashtra, 400706, India",,tertiary,"Sector 24 Ulwe, Maharashtra, India"
Sector 25 Khandeshhwar,19.0173837,73.0954838,"Prem Aangan society,kamothe, Prem Aangan, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,residential,Sector 25 Kamothe Navi Mumbai Maharashtra India
Sector 26 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 26 Vashi, Maharashtra, India"
Sector 28 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 28 Vashi, Maharashtra, India"
Sector 29 Vashi,19.0894378,73.0047837,"Sector 29 Vashi, Vashi - Koparkhairne Link Road, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,bus_stop,"Sector 29 Vashi, Maharashtra, India"
Sector 2B Airoli,19.1582719,72.9967088,"Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India",,suburb,"Sector 2B Airoli, Maharashtra, India"
Sector 3 New Panvel,18.9993761,73.1239899,"New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,suburb,"Sector 3 New Panvel, Maharashtra, India"
Sector 3 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 3 Vashi, Maharashtra, India"
Sector 30 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 420210, India",,suburb,"Sector 30 Kharghar, Maharashtra, India"
Sector 30 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 30 Vashi, Maharashtra, India"
Sector 30A Vashi,19.0643025,72.9999608,"Inorbit Mall, Sector 30A, Vashi Station Road, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,bus_stop,"Sector 30A Vashi, Maharashtra, India"
Sector 31 Vashi,19.0699948,72.9959605,"Sector 1, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,neighbourhood,"Sector 31 Vashi, Maharashtra, India"
Sector 35 Kamothe,19.0173837,73.0954838,"Prem Aangan society,kamothe, Prem Aangan, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,residential,"Sector 35 Kamothe, Maharashtra, India"
Sector 35E Kharghar,19.0471632,73.0807711,"Sector 18th Road, Murbi Village, Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 420210, India",,residential,"Sector 35E Kharghar, Maharashtra, India"
Sector 35G Kharghar,19.0705589,73.0693177,"Hyde Park, Sector 35G, Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,residential,"Sector 35G Kharghar, Maharashtra, India"
Sector 35I Kharghar,19.0458353,73.0783195,"Sector 19th Road, Kharghar Village, Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 420210, India",,secondary,"Sector 35I Kharghar, Maharashtra, India"
Sector 4 Airoli,19.1582719,72.9967088,"Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India",,suburb,"Sector 4 Airoli, Maharashtra, India"
Sector 4 Ghansoli,19.1145086,73.0019977,"Sector 4, Ghansoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,locality,"Sector 4 Ghansoli, Maharashtra, India"
Sector 44 Seawoods,19.0150570,73.0123022,"Bank of India, Jairam Tukaram Tandel Marg, Sector-44, Seawoods West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,bank,"Sector 44 Seawoods, Maharashtra, India"
Sector 44A Seawoods,19.0126990,73.0115861,"Sector-44A, Seawoods West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,residential,"Sector 44A Seawoods, Maharashtra, India"
Sector 5 Ghansoli,19.1175161,73.0033906,"Sector 5, Sector 6, Ghansoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,locality,"Sector 5 Ghansoli, Maharashtra, India"
Sector 5 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 5 Kopar Khairane, Maharashtra, India"
Sector 5 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 5 Vashi, Maharashtra, India"
Sector 6 Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,suburb,"Sector 6 Kharghar, Maharashtra, India"
Sector 6 New Panvel,19.0097282,73.1177843,"Vasundhara CHS, sector 6 new panvel, Sector Number 6th Road, New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,yes,"Sector 6 New Panvel, Maharashtra, India"
Sector 6 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 6 Vashi, Maharashtra, India"
Sector 7 Airoli,19.1582719,72.9967088,"Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India",,suburb,"Sector 7 Airoli, Maharashtra, India"
Sector 7 Ghansoli,19.1193307,72.9995096,"Ghansoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400701, India",,suburb,"Sector 7 Ghansoli, Maharashtra, India"
Sector 7 Kharghar,19.0331695,73.0658742,"Hotel Three Star, Sector 7, Kharghar Flyover, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410210, India",,hotel,"Sector 7 Kharghar, Maharashtra, India"
Sector 7 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 7 Kopar Khairane, Maharashtra, India"
Sector 7 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 7 Vashi, Maharashtra, India"
Sector 8 Airoli,19.1481414,72.9949050,"Sector 8 (Airoli), Diva Koliwada Road, Airoli Sector 5, Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 410701, India",,bus_stop,"Sector 8 Airoli, Maharashtra, India"
Sector 8 Kalamboli,19.0358309,73.1034796,"Kalamboli, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410218, India",,suburb,"Sector 8 Kalamboli, Maharashtra, India"
Sector 8 Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Sector 8 Kopar Khairane, Maharashtra, India"
Sector 8 Sanpada,19.0607337,73.0116775,"Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400705, India",,suburb,"Sector 8 Sanpada, Maharashtra, India"
Sector 8 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 8 Vashi, Maharashtra, India"
Sector 8A Airoli,19.1427827,72.9934041,"Yogesh Apartment, Sector 8A, Acharya Vinobha Bhave Road, Diva Village, Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India",,apartments,"Sector 8A Airoli, Maharashtra, India"
Sector 8A Belapur,19.0257331,73.0420988,"Belapur East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400614, India",,suburb,"Sector 8A Belapur, Maharashtra, India"
Sector 8B Belapur,19.0310419,73.0356567,"Sector 9 Agro Project Farm, Belapur East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,allotments,"Sector 8B Belapur, Maharashtra, India"
Sector 9 Airoli,19.1488906,72.9923596,"Sector 9-Airoli, Mulund - Airoli Link Road, Diva Village, Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 410701, India",,bus_stop,"Sector 9 Airoli, Maharashtra, India"
Sector 9 Ulwe,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Sector 9 Ulwe, Maharashtra, India"
Sector 9 Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 9 Vashi, Maharashtra, India"
Sector 9A Vashi,19.0757840,72.9952364,"Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,suburb,"Sector 9A Vashi, Maharashtra, India"
Sewri,18.9987796,72.8544218,"Sewri, Eastern Freeway, Sadbhavana Nagar, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400001, India",,station,"Sewri, Maharashtra, India"
Shailesh Nagar,19.1317025,72.9157388,"Shailesh J Mehta Institute of Management, Main Gate Road, Tirandaz Village, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India",,college,"Shailesh Nagar, Maharashtra, India"
Shilphata,19.1430394,73.0467879,"Shilphata, Shill Phata, Shill Gaon, Thane, Thane Subdistrict, Thane, Maharashtra, 410701, India",,trunk,"Shilphata, Maharashtra, India"
Siddharth Nagar,18.5655320,73.8135828,"Siddharth Nagar, Aundh, Khadki, Pune City Subdistrict, Pune District, Maharashtra, India",,residential,"Siddharth Nagar, Maharashtra, India"
Sindhi Colony,19.8748059,75.3367202,"sindhi colony, Osmanpura, Chhatrapati Sambhajinagar, Chhatrapati Sambhajinagar District, Maharashtra, 431002, India",,residential,"Sindhi Colony, Maharashtra, India"
Sindhi Society Chembur,19.0502890,72.8915885,"sng park, sindhi society, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400071, India",,park,"Sindhi Society Chembur, Maharashtra, India"
Sindhu Wadi,19.0768913,72.9044421,"sindhu wadi, Vidya Vihar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Sindhu Wadi, Maharashtra, India"
Sion,19.0465213,72.8632834,"Sion, Sion Bandra Link Road, Sion East, G/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400051, India",,station,"Sion, Maharashtra, India"
Sion Koliwada,19.0407302,72.8642303,"Sion Koliwada, Sion East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India",,neighbourhood,"Sion Koliwada, Maharashtra, India"
Sion Trombay Road,19.0422269,72.9327330,"V.N. Purav Marg, Mandala, Mankhurd, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400094, India",,tertiary,"Sion Trombay Road, Maharashtra, India"
Subhash Nagar,21.1233162,79.0420532,"Subhash Nagar, Hingna Road, Dharampeth, Digdoh, Nagpur, Nagpur Urban Taluka, Nagpur, Maharashtra, 440036, India",,station,"Subhash Nagar, Maharashtra, India"
Swastik Park,19.0565684,72.8902960,"Swastik Park, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India",,neighbourhood,"Swastik Park, Maharashtra, India"
Tagore Nagar,19.1196145,72.9343142,"Tagore Nagar, Vikhroli East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400083, India",,neighbourhood,"Tagore Nagar, Maharashtra, India"
Taloja,19.0754826,73.0921912,"Taloja, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410208, India",,suburb,"Taloja, Maharashtra, India"
Taloja Phase 1,19.0754826,73.0921912,"Taloja, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410208, India",,suburb,"Taloja Phase 1, Maharashtra, India"
Taloja Phase 2,19.0754826,73.0921912,"Taloja, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410208, India",,suburb,"Taloja Phase 2, Maharashtra, India"
Tambe Nagar,19.0596098,72.8481016,"Bhai Dhondu Tambe Marg, Gandhi Nagar, Bandra East, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400051, India",,residential,"Tambe Nagar, Maharashtra, India"
Tardeo,18.9722351,72.8203423,"Tardeo, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India",,suburb,"Tardeo, Maharashtra, India"
Tata Nagar,19.0526286,72.9197627,"Tata Nagar, Govandi West, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400088, India",,neighbourhood,"Tata Nagar, Maharashtra, India"
Tembhipada,19.1560835,72.9273657,"Tembhipada, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India",,neighbourhood,"Tembhipada, Maharashtra, India"
Thane Belapur Road,19.1966138,72.9870260,"Thane Belapur Road, Jambli Naka, Thane, Thane Subdistrict, Thane, Maharashtra, 400603, India",,primary,"Thane Belapur Road, Maharashtra, India"
Tilak nagar,19.0692377,72.8978464,"Tilak Nagar, Chheda Nagar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India",,neighbourhood,"Tilak nagar, Maharashtra, India"
Tirandaz,19.0183865,72.8525799,"Rustom Tirandaz Garden, Matunga East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, India",,recreation_ground,"Tirandaz, Maharashtra, India"
Tisgao Naka,,,,,,
Titwala,19.2963827,73.2030656,"Titwala, Titwala - Ambivli Road, Titwala, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, 421605, India",,station,"Titwala, Maharashtra, India"
Trombay,19.0336510,72.9503637,"Trombay, V.N. Purav Marg, Trombay Koliwada, Cheeta Camp, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400034, India",,bus_station,"Trombay, Maharashtra, India"
Tulshetpada,19.1608115,72.9312614,"Tulshetpada, Green Wheels Along Blue Lines, Lok Rachna, Mulund Colony, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India",,bus_stop,"Tulshetpada, Maharashtra, India"
